Year,Race,Pos,No,Driver,Car,Laps,Time/Retired,PTS,Country,Circuit,Type,Direction,Location,Last length used,Turns,Grands Prix,Grands Prix held
2000,51,1,1,Mika Hakkinen HAK,McLaren Mercedes,65.0,1:33:55.390,10.0,Spain,Circuit de Pedralbes,Street circuit,Clockwise,Barcelona,6.316 km (3.925 mi),6,Spanish Grand Prix,2
2000,51,1,1,Mika Hakkinen HAK,McLaren Mercedes,65.0,1:33:55.390,10.0,Spain,Circuito Permanente de Jerez,Race circuit,Clockwise,Jerez de la Frontera,4.428 km (2.751 mi),13,"Spanish Grand Prix,European Grand Prix",7
2000,51,1,1,Mika Hakkinen HAK,McLaren Mercedes,65.0,1:33:55.390,10.0,Spain,Circuito Permanente del Jarama,Race circuit,Clockwise,San Sebastián de los Reyes,3.314 km (2.059 mi),12,Spanish Grand Prix,9
2000,51,1,1,Mika Hakkinen HAK,McLaren Mercedes,65.0,1:33:55.390,10.0,Spain,Montjuïc circuit,Street circuit,Anti-clockwise,Barcelona,3.791 km (2.356 mi),18,Spanish Grand Prix,4
2000,51,1,1,Mika Hakkinen HAK,McLaren Mercedes,65.0,1:33:55.390,10.0,Spain,Valencia Street Circuit,Street circuit,Clockwise,Valencia,5.419 km (3.367 mi),25,European Grand Prix,5
2000,51,2,2,David Coulthard COU,McLaren Mercedes,65.0,+16.066s,6.0,Spain,Circuit de Barcelona-Catalunya *,Race circuit,Clockwise,Montmeló,4.657 km (2.894 mi),14,Spanish Grand Prix,34
2000,51,2,2,David Coulthard COU,McLaren Mercedes,65.0,+16.066s,6.0,Spain,Circuit de Pedralbes,Street circuit,Clockwise,Barcelona,6.316 km (3.925 mi),6,Spanish Grand Prix,2
2000,51,2,2,David Coulthard COU,McLaren Mercedes,65.0,+16.066s,6.0,Spain,Circuito Permanente de Jerez,Race circuit,Clockwise,Jerez de la Frontera,4.428 km (2.751 mi),13,"Spanish Grand Prix,European Grand Prix",7
2000,51,2,2,David Coulthard COU,McLaren Mercedes,65.0,+16.066s,6.0,Spain,Circuito Permanente del Jarama,Race circuit,Clockwise,San Sebastián de los Reyes,3.314 km (2.059 mi),12,Spanish Grand Prix,9
2000,51,2,2,David Coulthard COU,McLaren Mercedes,65.0,+16.066s,6.0,Spain,Montjuïc circuit,Street circuit,Anti-clockwise,Barcelona,3.791 km (2.356 mi),18,Spanish Grand Prix,4
2000,51,2,2,David Coulthard COU,McLaren Mercedes,65.0,+16.066s,6.0,Spain,Valencia Street Circuit,Street circuit,Clockwise,Valencia,5.419 km (3.367 mi),25,European Grand Prix,5
2000,51,3,4,Rubens Barrichello BAR,Ferrari,65.0,+29.112s,4.0,Spain,Circuit de Barcelona-Catalunya *,Race circuit,Clockwise,Montmeló,4.657 km (2.894 mi),14,Spanish Grand Prix,34
2000,51,3,4,Rubens Barrichello BAR,Ferrari,65.0,+29.112s,4.0,Spain,Circuit de Pedralbes,Street circuit,Clockwise,Barcelona,6.316 km (3.925 mi),6,Spanish Grand Prix,2
2000,51,3,4,Rubens Barrichello BAR,Ferrari,65.0,+29.112s,4.0,Spain,Circuito Permanente de Jerez,Race circuit,Clockwise,Jerez de la Frontera,4.428 km (2.751 mi),13,"Spanish Grand Prix,European Grand Prix",7
2000,51,3,4,Rubens Barrichello BAR,Ferrari,65.0,+29.112s,4.0,Spain,Circuito Permanente del Jarama,Race circuit,Clockwise,San Sebastián de los Reyes,3.314 km (2.059 mi),12,Spanish Grand Prix,9
2000,51,3,4,Rubens Barrichello BAR,Ferrari,65.0,+29.112s,4.0,Spain,Montjuïc circuit,Street circuit,Anti-clockwise,Barcelona,3.791 km (2.356 mi),18,Spanish Grand Prix,4
2000,51,3,4,Rubens Barrichello BAR,Ferrari,65.0,+29.112s,4.0,Spain,Valencia Street Circuit,Street circuit,Clockwise,Valencia,5.419 km (3.367 mi),25,European Grand Prix,5
2000,51,4,9,Ralf Schumacher RSC,Williams BMW,65.0,+37.311s,3.0,Spain,Circuit de Barcelona-Catalunya *,Race circuit,Clockwise,Montmeló,4.657 km (2.894 mi),14,Spanish Grand Prix,34
2000,51,4,9,Ralf Schumacher RSC,Williams BMW,65.0,+37.311s,3.0,Spain,Circuit de Pedralbes,Street circuit,Clockwise,Barcelona,6.316 km (3.925 mi),6,Spanish Grand Prix,2
2000,51,4,9,Ralf Schumacher RSC,Williams BMW,65.0,+37.311s,3.0,Spain,Circuito Permanente de Jerez,Race circuit,Clockwise,Jerez de la Frontera,4.428 km (2.751 mi),13,"Spanish Grand Prix,European Grand Prix",7
2000,51,4,9,Ralf Schumacher RSC,Williams BMW,65.0,+37.311s,3.0,Spain,Circuito Permanente del Jarama,Race circuit,Clockwise,San Sebastián de los Reyes,3.314 km (2.059 mi),12,Spanish Grand Prix,9
2000,51,4,9,Ralf Schumacher RSC,Williams BMW,65.0,+37.311s,3.0,Spain,Montjuïc circuit,Street circuit,Anti-clockwise,Barcelona,3.791 km (2.356 mi),18,Spanish Grand Prix,4
2000,51,4,9,Ralf Schumacher RSC,Williams BMW,65.0,+37.311s,3.0,Spain,Valencia Street Circuit,Street circuit,Clockwise,Valencia,5.419 km (3.367 mi),25,European Grand Prix,5
2000,51,5,3,Michael Schumacher MSC,Ferrari,65.0,+47.983s,2.0,Spain,Circuit de Barcelona-Catalunya *,Race circuit,Clockwise,Montmeló,4.657 km (2.894 mi),14,Spanish Grand Prix,34
2000,51,5,3,Michael Schumacher MSC,Ferrari,65.0,+47.983s,2.0,Spain,Circuit de Pedralbes,Street circuit,Clockwise,Barcelona,6.316 km (3.925 mi),6,Spanish Grand Prix,2
2000,51,5,3,Michael Schumacher MSC,Ferrari,65.0,+47.983s,2.0,Spain,Circuito Permanente de Jerez,Race circuit,Clockwise,Jerez de la Frontera,4.428 km (2.751 mi),13,"Spanish Grand Prix,European Grand Prix",7
2000,51,5,3,Michael Schumacher MSC,Ferrari,65.0,+47.983s,2.0,Spain,Circuito Permanente del Jarama,Race circuit,Clockwise,San Sebastián de los Reyes,3.314 km (2.059 mi),12,Spanish Grand Prix,9
